scores,amazon_item,alibaba_item,perc_scores
0,goadrom,acid beta guanidinopropano guanidinopropion,0.0
0,goadrom,exenatid hcl liraglutid lorcaserin orlistat rimonab naltrexon metformin,0.0
0,goadrom,suplatast tosil,0.0
0,goadrom,suppli alfoscer alpga bulk chines cholin glycerophosph gpc manufactur,0.0
0,goadrom,polyquaternium,0.0
0,goadrom,antidiarrh cyclopentol diatrizo diaveridin eimeria hydrochlorid mefenacet methoxybiphenyl tenella,0.0
0,goadrom,theanin,0.0
0,goadrom,hot price reason sell high cefamandol,0.0
0,goadrom,beta best price factori high arabinofuranosyl guanin suppli,0.0
0,goadrom,crl drug fladrafinil high,0.0
0,goadrom,adenosyl factori iso methionin produc,0.0
0,goadrom,andrographi andrographolid bag extract natur paniculata,0.0
0,goadrom,exenatid hcl liraglutid lorcaserin orlistat rimonab,0.0
0,goadrom,treatment antibiot chlamydia infect josamycin materi mycoplasma raw,0.0
0,goadrom,grade mesyl nafamostat top,0.0
0,goadrom,acut homeopath ointment phytomen rhiniti treatment zapranichnogo,0.0
0,goadrom,best aniracetam capsul draganon stock,0.0
0,goadrom,exenatid hcl liraglutid lorcaserin orlistat rimonab loss metformin weight,0.0
0,goadrom,mesyl top deliveri fast gemifloxacin hot price reason sell,0.0
0,goadrom,acid beta guanidinopropion best big discount,0.0
0,goadrom,exenatid liraglutid lorcaserin orlistat naltrexon,0.0
0,goadrom,grade mesyl nafamostat top,0.0
0,goadrom,top hot sell phenylalanin,0.0
0,audio kamtron surveil,cam play plug smart,0.0
0,audio kamtron surveil,around axi featur fulli network,0.0
0,audio kamtron surveil,card hikvis micro seri,0.0
0,audio kamtron surveil,smart kamera control best butterfli dorn drohn dron drone mit phone photo,0.0
0,audio kamtron surveil,cctv ch hot indoor megapixel sell,0.0
0,audio kamtron surveil,auto high accuraci fever screen track,0.0
0,audio kamtron surveil,support cheap control factori function price real remot robot time,0.0
0,audio kamtron surveil,ptz new night vision arriv color wanscam,0.0
0,audio kamtron surveil,high night qualiti vision,0.0
0,audio kamtron surveil,home system,0.0
0,audio kamtron surveil,mini ahd len illumin low lux new output soni,0.0
0,audio kamtron surveil,ptz,0.0
0,audio kamtron surveil,analog one waterproof,0.0
0,audio kamtron surveil,coaxial gevilion support transmiss xvr,0.0
0,audio kamtron surveil,seguridad home beveilig camara kamera oem survail valucam versteckt vigilancia,0.0
0,audio kamtron surveil,ahd dual len taxi,0.0
0,audio kamtron surveil,cctv easi setup system,0.0
0,audio kamtron surveil,seguridad capac kit nvr,0.0
0,audio kamtron surveil,ptz auto besder dome focu home outdoor speed,0.0
0,audio kamtron surveil,case con mini miniatura seguridad,0.0
0,audio kamtron surveil,equip inspect stainless steel,0.0
1,comgrow crealiti ender fulli open resum sourc xxmm,food black stock foil gusset block bopp glossi open,12.5
0,comgrow crealiti ender fulli open resum sourc xxmm,berri blanco hot insan materi moq one pc pound sale soft sorbet spider touch,0.0
0,comgrow crealiti ender fulli open resum sourc xxmm,color new pack flavor gusher infus medic sour tropic,0.0
0,comgrow crealiti ender fulli open resum sourc xxmm,food eight,0.0
0,comgrow crealiti ender fulli open resum sourc xxmm,custom print gravur pack clear foil front back plastik,0.0
0,comgrow crealiti ender fulli open resum sourc xxmm,euro header bopp poli slot,0.0
0,comgrow crealiti ender fulli open resum sourc xxmm,flat handl beauti bottom bright colour cut die enhanc gusset,0.0
0,comgrow crealiti ender fulli open resum sourc xxmm,good abil china perfor pla supplier,0.0
0,comgrow crealiti ender fulli open resum sourc xxmm,aluminum clear drectli foil front order,0.0
0,comgrow crealiti ender fulli open resum sourc xxmm,product vacuum latest type variou,0.0
0,comgrow crealiti ender fulli open resum sourc xxmm,hole flat black hang,0.0
0,comgrow crealiti ender fulli open resum sourc xxmm,euro hole ldpe panel white write,0.0
0,comgrow crealiti ender fulli open resum sourc xxmm,high aluminum three vacuum height inch pack widthx,0.0
0,comgrow crealiti ender fulli open resum sourc xxmm,print gravur handl stock surfac vacuum,0.0
0,comgrow crealiti ender fulli open resum sourc xxmm,window lamin see,0.0
0,comgrow crealiti ender fulli open resum sourc xxmm,black corner factori matt readi round ship suppli,0.0
0,comgrow crealiti ender fulli open resum sourc xxmm,custom design flat good window,0.0
0,comgrow crealiti ender fulli open resum sourc xxmm,aluminum custom fiol food grade new print product three wholesal,0.0
0,comgrow crealiti ender fulli open resum sourc xxmm,densiti high color environment header modern polyethylen protect retail,0.0
0,comgrow crealiti ender fulli open resum sourc xxmm,beverag densiti fashion high uniqu upgrad version,0.0
0,comgrow crealiti ender fulli open resum sourc xxmm,one food good pouch,0.0
0,coisum sleeper,boy chappal eva fashion flip flop footwear men new,0.0
0,coisum sleeper,flip flop african foot platform wear,0.0
0,coisum sleeper,high qualiti warm sheepskin bedroom plush,0.0
0,coisum sleeper,latest store strength,0.0
0,coisum sleeper,doubl sheepskin side,0.0
0,coisum sleeper,chappal eva sandal malaysia,0.0
0,coisum sleeper,home winter sole coral fleec sued woman,0.0
0,coisum sleeper,comfort gel miracl seen tan tru,0.0
0,coisum sleeper,new slide design sole pcu,0.0
0,coisum sleeper,chappal sandal pvc man decor,0.0
0,coisum sleeper,eva oem bathroom hotel cheap sole thick,0.0
0,coisum sleeper,boy footwear men chappl china high person qualiti slide,0.0
0,coisum sleeper,men factori home bamboo price,0.0
0,coisum sleeper,new design autumn home indoor jersey warm winter,0.0
0,coisum sleeper,new bathroom hotel man style washabl,0.0
0,coisum sleeper,fashion casual clog design knit latest,0.0
0,coisum sleeper,emboss factori hand leather logo made oem profess upper,0.0
0,coisum sleeper,flip flop bling lightweight pvc rubber,0.0
0,coisum sleeper,moroccan soft,0.0
0,coisum sleeper,sandal,0.0
0,coisum sleeper,flip flop sandal,0.0
1,bead sivio,anim assur babi bead cartoon quantiti set shape silicon variou,50.0
1,bead sivio,bead make gemston supplier color stone agat multi quartz,50.0
1,bead sivio,bead china fanci manufactur miracl,50.0
1,bead sivio,bead cheap china keco kind price,50.0
1,bead sivio,bead miyuki high japanes lampwork,50.0
1,bead sivio,bead supplier best ebay,50.0
1,bead sivio,bead colour sku,50.0
1,bead sivio,bead color,50.0
1,bead sivio,bead green rhineston vou,50.0
1,bead sivio,bead bulk high japanes necklac toho,50.0
1,bead sivio,bead new top,50.0
1,bead sivio,bead barrel cord diy end fl hole larg lock make part plastic poni sew,50.0
1,bead sivio,bead stone charm druzi mala sweetheart tassel turquois,50.0
1,bead sivio,bead gemston adjust,50.0
1,bead sivio,bead diy round factori handmad accessori blood dracaena dragon natur stone,50.0
1,bead sivio,bead bag black color delica handmad miyuki,50.0
1,bead sivio,bead,50.0
1,bead sivio,bead silicon round bulk factori food grade supplier,50.0
1,bead sivio,bead polish gemston golden great round sand strand,50.0
1,bead sivio,bead bear grind polish pulley use,50.0
1,bead sivio,bead natur necklac product purpl super,50.0
2,chicken，duck gmo kimo mealworm protein,high protein natur dri mealworm chicken,40.0
0,chicken，duck gmo kimo mealworm protein,addit cooki dog snack,0.0
0,chicken，duck gmo kimo mealworm protein,cheap hot live sell,0.0
0,chicken，duck gmo kimo mealworm protein,meal powder factori best defat price replac,0.0
0,chicken，duck gmo kimo mealworm protein,dog freez factori product,0.0
0,chicken，duck gmo kimo mealworm protein,liver powder,0.0
0,chicken，duck gmo kimo mealworm protein,nutrit,0.0
0,chicken，duck gmo kimo mealworm protein,freez liver nutrit treat duck,0.0
0,chicken，duck gmo kimo mealworm protein,feed nutrit bird poultri,0.0
0,chicken，duck gmo kimo mealworm protein,addit snack biscuit low meat moistur oem,0.0
0,chicken，duck gmo kimo mealworm protein,bulk top bonito cat fresh grade petshop powder salmon supplier,0.0
0,chicken，duck gmo kimo mealworm protein,eco friendli feed,0.0
0,chicken，duck gmo kimo mealworm protein,bulk eco friendli qualiti top,0.0
0,chicken，duck gmo kimo mealworm protein,treat bird wild,0.0
0,chicken，duck gmo kimo mealworm protein,dog snack liver,0.0
0,chicken，duck gmo kimo mealworm protein,dog domest insect meal nourish,0.0
0,chicken，duck gmo kimo mealworm protein,qualiti freez liver nutrit treat,0.0
0,chicken，duck gmo kimo mealworm protein,bulk eco friendli,0.0
0,chicken，duck gmo kimo mealworm protein,feed pupa,0.0
0,chicken，duck gmo kimo mealworm protein,feed frozen wholesal,0.0
0,chicken，duck gmo kimo mealworm protein,dog snack bag fillet sesam train,0.0
4,bronz fire fireplac pit pound reflect stanbroil,fire pit reflect azuria blue fireglass hwk pound,57.14285714285714
4,bronz fire fireplac pit pound reflect stanbroil,fire fireplac pit bead factori heat reflect wholesal,57.14285714285714
3,bronz fire fireplac pit pound reflect stanbroil,fire fireplac pit portabl sens,42.857142857142854
3,bronz fire fireplac pit pound reflect stanbroil,fire pit amazon bronz garden heater hexagon keyo sell steel,42.857142857142854
